SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
147,2024-03-20,2063.95,2084.59,2058.78,(-3.34),(-0.16%),2227.16,1818.31,3415997025.10,7474931,58989
148,2024-03-19,2067.29,2091.52,2064.44,(-6.24),(-0.30%),2227.16,1818.31,3601323721.50,8346602,62865
149,2024-03-18,2073.53,2075.62,2060.08,(3.27),(0.15%),2227.16,1818.31,2866167802.00,6950554,52507
150,2024-03-17,2070.25,2086.03,2064.32,(-10.62),(-0.51%),2227.16,1818.31,3342906447.44,8002022,62135
151,2024-03-14,2080.87,2110.55,2074.05,(-27.84),(-1.32%),2227.16,1818.31,3862949170.40,10484045,65018
152,2024-03-13,2108.72,2124.08,2093.89,(-2.48),(-0.11%),2227.16,1818.31,4204216955.50,10069515,72334
153,2024-03-12,2111.21,2111.24,2064.08,(58.55),(2.85%),2227.16,1818.31,4502781511.80,9916579,81294
154,2024-03-10,2052.65,2061.20,2032.58,(22.10),(1.08%),2227.16,1818.31,2896220284.30,6671262,55679
155,2024-03-07,2030.55,2040.90,2017.00,(13.51),(0.67%),2227.16,1818.31,2584939843.90,6369002,47093
156,2024-03-06,2017.03,2036.32,1992.34,(9.33),(0.46%),2227.16,1818.31,3413279560.50,8515985,58264
157,2024-03-05,2007.69,2095.19,2003.77,(-70.31),(-3.38%),2227.16,1818.31,4036511985.90,10390989,68325
158,2024-03-04,2078.00,2078.16,1976.13,(117.70),(6.00%),2227.16,1818.31,373363435.12,919938,3830
159,2024-03-03,1960.30,1975.39,1946.42,(-11.78),(-0.59%),2227.16,1818.31,2046327100.90,5219522,44628
160,2024-02-29,1972.09,2007.57,1970.04,(-28.68),(-1.43%),2227.16,1818.31,2557376634.20,6851368,47421
161,2024-02-28,2000.77,2009.50,1992.46,(-0.87),(-0.04%),2227.16,1818.31,2019691713.52,4794742,40964
162,2024-02-27,2001.64,2007.85,1980.43,(9.34),(0.46%),2227.16,1818.31,1844244483.60,4820150,40237
163,2024-02-26,1992.30,1997.52,1973.30,(13.28),(0.67%),2227.16,1818.31,1981576234.70,5300407,49183
164,2024-02-25,1979.02,2011.81,1976.68,(-26.81),(-1.33%),2227.16,1818.31,3058966151.30,7991427,70925
165,2024-02-22,2005.83,2030.40,2000.55,(-20.76),(-1.02%),2227.16,1818.31,3127891057.50,8073408,76964
166,2024-02-21,2026.59,2044.44,2020.88,(-6.46),(-0.31%),2227.16,1818.31,2208237320.10,5774381,57639
167,2024-02-20,2033.06,2043.50,2025.89,(-1.76),(-0.08%),2227.16,1818.31,2916530408.90,7435168,75772
168,2024-02-18,2034.82,2062.32,2030.29,(-27.21),(-1.31%),2227.16,1818.31,3731281233.60,9623683,96033
169,2024-02-15,2062.03,2077.10,2055.72,(-14.46),(-0.69%),2227.16,1818.31,3830213319.20,10019684,80226
170,2024-02-14,2076.50,2081.62,2064.34,(5.91),(0.28%),2227.16,1818.31,4114257097.10,10421083,73895
171,2024-02-13,2070.59,2101.55,2064.84,(-30.56),(-1.45%),2227.16,1818.31,4648227247.40,11681047,82012
172,2024-02-12,2101.16,2103.91,2081.81,(15.33),(0.73%),2227.16,1818.31,3555930818.40,8488692,74123
173,2024-02-11,2085.82,2109.32,2083.60,(-10.50),(-0.50%),2227.16,1818.31,4052636715.10,9472391,82863
174,2024-02-08,2096.32,2097.97,2082.72,(5.68),(0.27%),2227.16,1818.31,3118747454.48,8133405,66315
175,2024-02-07,2090.64,2107.57,2086.76,(4.92),(0.23%),2227.16,1818.31,2817321418.90,7095582,64592
176,2024-02-06,2085.71,2087.24,2067.59,(9.44),(0.45%),2227.16,1818.31,2562106511.80,6050607,65658
177,2024-02-05,2076.27,2084.80,2060.55,(14.57),(0.70%),2227.16,1818.31,2368155780.70,6132766,55926
178,2024-02-04,2061.70,2072.90,2053.46,(-5.31),(-0.25%),2227.16,1818.31,3173824028.70,8291404,69969
179,2024-02-01,2067.01,2103.22,2063.68,(-30.92),(-1.47%),2227.16,1818.31,4134055806.90,10797505,79075
180,2024-01-31,2097.93,2131.28,2088.48,(-21.67),(-1.02%),2227.16,1818.31,5261297324.10,13304962,94434
181,2024-01-30,2119.61,2128.11,2105.46,(14.88),(0.70%),2227.16,1818.31,5512673828.10,14175834,115868
182,2024-01-29,2104.72,2114.79,2097.23,(10.26),(0.48%),2227.16,1818.31,4509873610.80,11510803,102064
183,2024-01-28,2094.46,2098.14,2075.37,(10.37),(0.49%),2227.16,1818.31,3760425673.26,9569448,99711
184,2024-01-25,2084.09,2096.75,2072.78,(-3.94),(-0.18%),2227.16,1818.31,3628204398.10,9676890,90240
185,2024-01-24,2088.04,2120.46,2083.45,(-10.25),(-0.48%),2227.16,1818.31,3759021443.00,9987848,89036
186,2024-01-23,2098.29,2112.15,2087.22,(-0.40),(-0.01%),2227.16,1818.31,4213007884.90,10955693,116459
187,2024-01-22,2098.69,2134.81,2090.64,(-31.49),(-1.47%),2227.16,1818.31,6279185954.50,16987359,149353
188,2024-01-21,2130.18,2165.67,2123.86,(-25.63),(-1.18%),2227.16,1818.31,7628843167.80,21870423,165634
189,2024-01-18,2155.82,2167.43,2133.12,(-7.24),(-0.33%),2227.16,1818.31,8000560292.20,19632638,302519
190,2024-01-17,2163.06,2215.54,2154.02,(-12.10),(-0.55%),2227.16,1818.31,9636872277.90,25409500,208598
191,2024-01-16,2175.17,2178.37,2125.11,(54.54),(2.57%),2227.16,1818.31,7955357428.70,22205120,131239
192,2024-01-14,2120.62,2121.67,2093.44,(31.62),(1.51%),2227.16,1818.31,5031774849.90,14071119,93255
193,2024-01-11,2088.99,2106.43,2082.49,(-0.62),(-0.03%),2227.16,1818.31,3761833344.65,10262549,78325
194,2024-01-10,2089.62,2116.44,2084.44,(9.50),(0.45%),2227.16,1818.31,5102671981.00,12743728,91476
195,2024-01-09,2080.12,2098.04,2063.42,(20.62),(1.00%),2227.16,1818.31,6007954904.85,15859266,103316
196,2024-01-08,2059.49,2059.66,2025.62,(36.57),(1.80%),2227.16,1818.31,4628545913.70,11894524,98242
197,2024-01-07,2022.92,2056.49,2019.77,(-26.36),(-1.28%),2227.16,1818.31,5189207162.50,13940290,97326
198,2024-01-04,2049.28,2072.08,2046.05,(-8.71),(-0.42%),2227.16,1818.31,5530655482.20,13961267,107123
199,2024-01-03,2058.00,2058.31,2023.76,(27.90),(1.37%),2227.16,1818.31,3998145788.90,9830841,95286
200,2024-01-02,2030.10,2061.92,2024.14,(-30.05),(-1.45%),2227.16,1818.31,3910572452.55,9789907,84055
201,2024-01-01,2060.15,2096.44,2056.87,(-8.75),(-0.42%),2227.16,1818.31,4391879698.00,10579842,101400
202,2023-12-28,2068.90,2085.36,2059.49,(-1.93),(-0.09%),2227.16,1818.31,4240859756.30,10235355,100283
203,2023-12-27,2070.84,2109.35,2055.35,(-17.23),(-0.82%),2227.16,1818.31,5170552591.40,12818506,116067
