Symbol,Date,Open,High,Low,Close,Percent Change,Volume
NEPSE,12-12-23,1952.19,1990.39,1940.15,1985.44,1.89%,"4,309,019,196.26"
NEPSE,13-12-23,1990.36,2017.22,1976.04,1988.04,0.13%,"3,909,198,570.27"
NEPSE,14-12-23,1989.53,1997.12,1973.42,1994.6,0.32%,"3,151,635,750.12"
NEPSE,17-12-23,1986.06,2022.82,1951.02,2022.35,1.39%,"5,157,846,979.05"
NEPSE,18-12-23,2025.73,2070.59,2025.68,2060.49,1.88%,"6,868,177,565.83"
NEPSE,19-12-23,2065.06,2107.32,2053.27,2106.48,2.23%,"5,984,699,175.73"
NEPSE,20-12-23,2113.94,2150.98,2110.76,2141.87,1.68%,"7,009,575,176.13"
NEPSE,21-12-23,2148.16,2154.51,2102.79,2109.1,-1.53%,"6,274,324,811.90"
NEPSE,24-12-23,2113.69,2132.63,2082.93,2088.07,-0.99%,"7,111,733,829.80"
NEPSE,27-12-23,2089.89,2109.35,2055.35,2070.84,-0.82%,"5,248,782,611.37"
NEPSE,28-12-23,2072.09,2085.36,2059.49,2068.9,-0.09%,"4,290,932,297.60"
NEPSE,01-01-24,2072.45,2096.44,2056.87,2060.15,-0.42%,"4,483,982,461.34"
NEPSE,02-01-24,2060.47,2061.92,2024.14,2030.1,-1.45%,"4,044,659,922.73"
NEPSE,03-01-24,2030.95,2058.31,2023.76,2058,1.37%,"4,048,857,454.59"
NEPSE,04-01-24,2058.57,2072.08,2046.05,2049.28,-0.42%,"5,581,107,804.70"
NEPSE,07-01-24,2049.9,2056.49,2019.77,2022.92,-1.28%,"5,241,408,379.85"
NEPSE,08-01-24,2025.89,2059.66,2025.62,2059.49,1.80%,"4,675,224,906.28"
NEPSE,09-01-24,2063.56,2098.04,2063.42,2080.12,1.00%,"6,118,317,866.67"
NEPSE,10-01-24,2084.59,2116.44,2084.44,2089.62,0.45%,"5,134,848,789.38"
NEPSE,11-01-24,2091.28,2106.43,2082.49,2088.99,-0.03%,"4,307,763,277.27"
NEPSE,14-01-24,2093.48,2121.67,2093.44,2120.62,1.51%,"5,450,421,806.40"
NEPSE,16-01-24,2125.2,2178.37,2125.11,2175.17,2.57%,"8,023,862,406.69"
NEPSE,17-01-24,2181.8,2215.54,2154.02,2163.06,-0.55%,"9,768,969,868.61"
NEPSE,18-01-24,2163.39,2167.43,2133.12,2155.82,-0.33%,"8,174,986,282.97"
NEPSE,21-01-24,2156.52,2165.67,2123.86,2130.18,-1.18%,"7,677,740,058.04"
NEPSE,22-01-24,2128.56,2134.81,2090.64,2098.69,-1.47%,"6,366,070,003.35"
NEPSE,23-01-24,2096.99,2112.15,2087.22,2098.29,-0.01%,"4,294,566,751.66"
NEPSE,24-01-24,2098.97,2120.46,2083.45,2088.04,-0.48%,"3,897,022,598.98"
NEPSE,25-01-24,2088.49,2096.75,2072.78,2084.09,-0.18%,"3,764,505,450.98"
NEPSE,28-01-24,2084.64,2098.14,2075.37,2094.46,0.49%,"3,833,776,580.76"
NEPSE,29-01-24,2097.48,2114.79,2097.23,2104.72,0.48%,"4,566,522,230.82"
NEPSE,30-01-24,2105.87,2128.11,2105.46,2119.61,0.70%,"5,544,217,593.12"
NEPSE,31-01-24,2119.17,2131.28,2088.48,2097.93,-1.02%,"5,295,605,057.48"
NEPSE,01-02-24,2103.2,2103.22,2063.68,2067.01,-1.47%,"4,180,632,139.37"
NEPSE,04-02-24,2067.47,2072.9,2053.46,2061.7,-0.25%,"3,216,727,221.79"
NEPSE,05-02-24,2063.93,2084.8,2060.55,2076.27,0.70%,"2,438,058,254.56"
NEPSE,06-02-24,2073.83,2087.24,2067.59,2085.71,0.45%,"2,591,534,907.76"
NEPSE,07-02-24,2095.1,2107.57,2086.76,2090.64,0.23%,"2,842,550,237.47"
NEPSE,08-02-24,2094.18,2097.97,2082.72,2096.38,0.27%,"3,212,283,453.63"
NEPSE,11-02-24,2101.28,2109.32,2083.6,2085.82,-0.50%,"4,085,678,472.16"
NEPSE,12-02-24,2085.81,2103.91,2081.81,2101.16,0.73%,"3,586,984,128.48"
NEPSE,13-02-24,2101.56,2101.55,2064.84,2070.59,-1.45%,"4,667,179,304.14"
NEPSE,14-02-24,2071.71,2081.62,2064.34,2076.5,0.28%,"4,252,722,895.26"
NEPSE,15-02-24,2075.62,2077.1,2055.72,2062.03,-0.69%,"3,869,118,741.98"
NEPSE,18-02-24,2060.68,2062.32,2030.29,2034.82,-1.31%,"3,775,422,196.17"
NEPSE,20-02-24,2034.79,2043.5,2025.89,2033.06,-0.08%,"3,113,556,978.43"
NEPSE,21-02-24,2034.39,2044.44,2020.88,2026.59,-0.31%,"2,241,961,799.37"
NEPSE,22-02-24,2027.57,2030.4,2000.55,2005.83,-1.02%,"3,206,167,025.37"
NEPSE,25-02-24,2006.89,2011.81,1976.68,1979.02,-1.33%,"3,086,951,070.51"
NEPSE,26-02-24,1980.9,1997.52,1973.3,1992.3,0.67%,"2,017,739,060.68"
NEPSE,27-02-24,1992.7,2007.85,1980.43,2001.64,0.46%,"1,869,813,526.21"
NEPSE,28-02-24,2002.94,2009.5,1992.46,2000.77,-0.04%,"2,038,100,977.42"
NEPSE,29-02-24,2001.02,2007.57,1970.04,1972.09,-1.43%,"2,598,737,228.86"
NEPSE,03-03-24,1972.63,1975.39,1946.42,1960.3,-0.59%,"2,082,786,089.08"
NEPSE,04-03-24,1976.14,2078.16,1976.14,2078,6.00%,"375,209,978.32"
NEPSE,05-03-24,2094.71,2095.19,2003.77,2007.69,-3.38%,"4,113,676,958.02"
NEPSE,06-03-24,2008.93,2036.32,1992.34,2017.03,0.46%,"3,450,838,357.20"
NEPSE,07-03-24,2020.95,2040.9,2017,2030.55,0.67%,"3,199,205,820.35"
NEPSE,10-03-24,2032.58,2061.2,2032.58,2052.65,1.08%,"2,922,771,558.91"
NEPSE,12-03-24,2065.63,2111.24,2064.08,2111.24,2.85%,"4,551,632,347.82"
NEPSE,13-03-24,2123.91,2124.08,2093.89,2108.72,-0.11%,"4,248,523,332.22"
NEPSE,14-03-24,2110.55,2110.55,2074.05,2080.87,-1.32%,"3,943,592,302.13"
NEPSE,17-03-24,2082.41,2086.03,2064.32,2070.25,-0.51%,"3,387,980,384.33"
NEPSE,18-03-24,2073.59,2075.62,2060.08,2073.53,0.15%,"2,885,637,818.91"
NEPSE,19-03-24,2074.54,2091.52,2064.44,2067.29,-0.30%,"3,633,936,554.87"
NEPSE,20-03-24,2072.48,2084.59,2058.78,2063.95,-0.16%,"3,496,284,036.16"
NEPSE,21-03-24,2065.52,2074.97,2045.11,2048.57,-0.74%,"4,313,017,713.50"
NEPSE,25-03-24,2050.68,2051.67,2027.77,2031.55,-0.83%,"2,489,118,485.08"
NEPSE,26-03-24,2033,2048.74,2032.13,2041.7,0.49%,"2,354,348,503.01"
NEPSE,27-03-24,2042.09,2053.71,2025.1,2030.86,-0.53%,"2,235,485,534.30"
NEPSE,28-03-24,2033.42,2039.34,2023.13,2035.64,0.23%,"2,653,349,468.51"
NEPSE,31-03-24,2034.71,2040.48,2014.32,2018.33,-0.85%,"3,205,332,324.76"
NEPSE,01-04-24,2017.18,2019.76,2006.96,2012.07,-0.31%,"2,874,754,305.75"
NEPSE,02-04-24,2014.55,2018.07,2004.28,2010.21,-0.09%,"2,291,645,585.49"
NEPSE,03-04-24,2011.66,2017.21,1999.85,2006.78,-0.17%,"2,536,233,986.67"
NEPSE,04-04-24,2007.13,2011.37,2000.33,2004.05,-0.13%,"3,037,267,307.85"
NEPSE,07-04-24,2009.05,2026.82,2000.36,2026.81,1.13%,"4,256,676,333.56"
NEPSE,09-04-24,2035.2,2046.61,2030.44,2036.01,0.45%,"4,143,783,989.11"
NEPSE,10-04-24,2038.11,2045.46,2016.34,2025.3,-0.52%,"3,485,660,640.32"
NEPSE,14-04-24,2025.7,2031.9,2017.88,2023.35,-0.11%,"3,063,772,652.62"
NEPSE,15-04-24,2022.32,2026.99,2002.21,2006.52,-0.83%,"2,797,577,432.68"
NEPSE,16-04-24,2004.97,2004.96,1988.19,1991.71,-0.73%,"2,103,019,218.58"
NEPSE,18-04-24,1992.37,1992.37,1967.39,1972.14,-0.98%,"2,093,612,792.78"
NEPSE,21-04-24,1972.92,1984.46,1953.29,1984.43,0.62%,"2,259,959,456.89"
NEPSE,22-04-24,1984.08,1992.78,1964.42,1969.02,-0.77%,"2,058,305,185.19"
NEPSE,24-04-24,1969.41,1979.57,1963.34,1969.17,0.01%,"2,536,431,998.50"
NEPSE,25-04-24,1971.36,1974.91,1960.92,1965.93,-0.16%,"2,366,975,594.12"
NEPSE,28-04-24,1973.54,1981.55,1965.14,1980.27,0.72%,"2,682,586,955.82"
NEPSE,29-04-24,1990.32,1990.31,1974.52,1980.34,0.00%,"2,959,458,501.43"
NEPSE,30-04-24,1991.51,2016.61,1979.31,2006.28,1.30%,"4,800,044,601.66"
NEPSE,02-05-24,2025.79,2026.62,1995.49,1998.96,-0.36%,"4,133,362,726.23"
NEPSE,05-05-24,1998.45,1999.17,1969.96,1974.37,-1.23%,"3,795,748,296.39"
NEPSE,06-05-24,1980.23,1980.81,1952.63,1958.75,-0.79%,"2,891,319,979.88"
NEPSE,07-05-24,1959.91,1970.71,1955.16,1960.81,0.10%,"2,140,502,621.77"
NEPSE,08-05-24,1961.28,1968.25,1954.22,1960.6,-0.01%,"2,547,030,825.50"
