,mse,mae,mape,r2_score
0,0.000467,0.016788,4.1145,0.990706
1,0.000624,0.019477,2.510916,0.921961
2,0.000493,0.019251,4.261358,0.948045
3,0.000222,0.012438,2.980471,0.914407
4,0.000367,0.015124,2.840021,0.981549
average,0.000435,0.016616,3.341453,0.951334
