,mse,mae,mape,r2_score
0,0.000924,0.024409,5.822435,0.981594
1,0.000871,0.023103,2.981356,0.891156
2,0.000782,0.024224,5.395809,0.917525
3,0.000322,0.015364,3.700925,0.875612
4,0.000392,0.015022,2.74733,0.980302
average,0.000658,0.020424,4.129571,0.929238
